IP,Count,Total_Bytes_Sent,SYN Flood,HTTP_GET_Req,Pings_Sent,Malicious
159.65.36.149,1053,61252,0,0,0,0
82.30.132.22,1019,58074,389,0,0,1
178.63.148.92,41,2658,0,0,0,0
185.254.189.231,32,2076,0,0,0,0
188.138.57.208,3,194,0,0,0,0
185.97.201.112,3,198,0,0,0,0
74.120.14.84,1,58,0,0,0,0
185.64.104.54,1,74,0,0,0,0
178.128.20.198,1,56,0,0,0,0
185.233.186.56,1,56,0,0,0,0
74.120.14.73,1,58,0,0,0,0
209.141.40.103,1,58,0,0,0,0
74.120.14.82,1,58,0,0,0,0
185.127.26.6,1,66,0,0,0,0
172.18.0.4,2004,108216,0,0,0,0
165.22.32.146,2000,108000,2000,0,0,1
77.88.5.157,1,74,0,0,0,0
66.249.75.200,1,74,0,0,0,0
66.249.75.12,1,74,0,0,0,0
77.88.5.253,1,74,0,0,0,0
172.18.0.4,2007,108378,0,0,0,0
165.22.32.146,2000,108000,2000,0,0,1
66.249.75.8,2,148,0,0,0,0
66.249.75.198,2,148,0,0,0,0
77.88.5.80,1,74,0,0,0,0
66.249.75.10,1,74,0,0,0,0
66.249.75.200,1,74,0,0,0,0
192.168.0.6,1000,54000,1000,0,0,1
192.168.0.4,1000,54000,0,0,0,0
192.168.0.6,1000,54000,1000,0,0,1
192.168.0.4,1000,54000,0,0,0,0
192.168.0.6,2000,108000,2000,0,0,1
192.168.0.4,2000,108000,0,0,0,0
192.168.0.4,4000,216000,0,0,0,0
172.123.25.53,2000,108000,2000,0,0,1
172.123.25.54,2000,108000,2000,0,0,1
192.168.0.6,2000,108000,2000,0,0,1
192.168.0.4,2000,108000,0,0,0,0
165.22.32.146,4000,216000,2000,0,0,1
172.18.0.4,2005,116632,0,0,0,0
66.249.75.200,5,826,0,0,0,0
10.128.0.2,202,17346,0,30,0,1
10.128.0.3,142,109698,0,0,0,0
199.101.110.5,3920,502241,0,1131,0,1
159.65.36.149,3737,1889274,0,0,0,0
172.18.0.4,13,702,0,0,0,0
178.63.148.92,12,776,0,0,0,0
185.254.189.231,7,454,0,0,0,0
185.169.233.140,3,168,0,0,0,0
185.64.104.55,2,148,0,0,0,0
192.168.80.6,1178,1528276,0,0,0,0
192.168.80.2,727,1454382,0,0,0,0
192.168.80.1,382,36256,0,92,0,1
192.168.80.6,1242,1622735,0,0,0,0
192.168.80.2,775,1544670,0,0,0,0
192.168.80.1,397,37841,0,97,0,1
192.168.80.6,1233,1604094,0,0,0,0
192.168.80.2,764,1526520,0,0,0,0
192.168.80.1,393,37458,0,96,0,1
192.168.80.6,1213,1584727,0,0,0,0
192.168.80.2,747,1507974,0,0,0,0
192.168.80.1,393,37339,0,95,0,1
fe80::e4ba:a6ff:fee5:c33,1,70,0,0,0,0
192.168.80.6,1269,1660760,0,0,0,0
192.168.80.2,782,1567596,0,0,0,0
192.168.80.1,403,38487,0,99,0,1
192.168.80.6,1727,2304473,0,0,0,0
192.168.80.2,1081,2189034,0,0,0,0
192.168.80.1,513,49781,0,133,0,1
10.0.0.2,1429,139922,0,94,0,1
10.128.0.2,1002,810861,0,0,0,0
